species,longitude,latitude,year,source
Desmodus rotundus,-43.296917,-13.076306,2009,portalbio
Desmodus rotundus,-43.296917,-13.076306,2009,portalbio
Desmodus rotundus,-43.296917,-13.076306,2010,portalbio
Desmodus rotundus,-43.539917,-14.06725,2009,portalbio
Desmodus rotundus,-43.539917,-14.06725,2009,portalbio
Desmodus rotundus,-43.539917,-14.06725,2009,portalbio
Desmodus rotundus,-43.539917,-14.06725,2009,portalbio
Desmodus rotundus,-43.539917,-14.06725,2009,portalbio
Desmodus rotundus,-43.539917,-14.06725,2009,portalbio
Desmodus rotundus,-43.539917,-14.06725,2009,portalbio
Desmodus rotundus,-43.539917,-14.06725,2010,portalbio
Desmodus rotundus,-43.539917,-14.06725,2010,portalbio
Desmodus rotundus,-43.539917,-14.06725,2010,portalbio
Desmodus rotundus,-43.539917,-14.06725,2010,portalbio
Desmodus rotundus,-43.539917,-14.06725,2010,portalbio
Desmodus rotundus,-43.485167,-13.733583,2009,portalbio
Desmodus rotundus,-43.172694,-13.442333,2009,portalbio
Desmodus rotundus,-43.172694,-13.442333,2009,portalbio
Desmodus rotundus,-43.172694,-13.442333,2009,portalbio
Desmodus rotundus,-43.172694,-13.442333,2010,portalbio
Desmodus rotundus,-43.172694,-13.442333,2010,portalbio
Desmodus rotundus,-43.172694,-13.442333,2010,portalbio
Desmodus rotundus,-43.172694,-13.442333,2010,portalbio
Desmodus rotundus,-43.172694,-13.442333,2010,portalbio
Desmodus rotundus,-43.332472,-13.173028,2009,portalbio
Desmodus rotundus,-43.332472,-13.173028,2009,portalbio
Desmodus rotundus,-43.332472,-13.173028,2010,portalbio
Desmodus rotundus,-43.215083,-12.795639,2009,portalbio
Desmodus rotundus,-43.215083,-12.795639,2010,portalbio
Desmodus rotundus,-47.4025,-15.882778,2012,portalbio
Desmodus rotundus,-53.886106,-27.145556,2013,portalbio
Desmodus rotundus,-43.954925,-19.575317,2013,portalbio
Desmodus rotundus,-43.954925,-19.575317,2013,portalbio
Desmodus rotundus,-46.787278,-3.985,2010,portalbio
Desmodus rotundus,-46.753378,-3.905169,2011,portalbio
Desmodus rotundus,-37.1425,-10.840556,2014,portalbio
Desmodus rotundus,-42.6,-19.7,2014,portalbio
