Dataset_sequence_ID,Data_Entry,Cave_Datas,Biogeographical.realm,Region,Country,Cave_Name,Latitude,Longitude,Canopy.cov,Tree.dens,Freshwater.dist,Bareground.change,Shortveg.change,Talltree.change,Urban.dist,Road.dist,Mine.dens,Nighlight,Pesticide.exp,Pop.dens
Dataset_3_139,BC 1429,S 038,Palearctic,Europe,Bulgaria,Kesedzhiica,43.26667,26.56667,0,0,32.9706,0,0,0,0,0,0,138,0,78.2602
Dataset_3_140,BC 1430,S 038,Palearctic,Europe,Bulgaria,Suhata,43.26667,26.56667,0,0,32.9706,0,0,0,0,0,0,138,0,78.2602
Dataset_3_141,BC 1468,S 039,Palearctic,Europe,United Kingdom,"Pixies Hole, Chudleigh",50.6,-3.6,0,0,1.41421,0,0,0,2000,0,49.7359,58,13063,2529.65
Dataset_3_142,BC 1469,S 039,Palearctic,Europe,United Kingdom,Boulton's Rift,50.6,-3.6,0,0,1.41421,0,0,0,2000,0,49.7359,58,13063,2529.65
Dataset_3_143,BC 1484,S 039,Palearctic,Europe,United Kingdom,Foxwood,51.8,-3,0,0,62.4853,0,0,0,1414.21,0,0,66,0,36.1081
Dataset_3_144,BC 1485,S 039,Palearctic,Europe,United Kingdom,Gough's Old Cave,51.2,-2.7,0,0,62.4853,0,0,0,2414.21,0,0,66,0,357.146
Dataset_3_145,BC 1486,S 039,Palearctic,Europe,United Kingdom,Canyon,51.2,-2.7,0,0,71.3137,0,0,0,2414.21,0,0,66,0,357.146
Dataset_3_146,BC 1487,S 039,Palearctic,Europe,United Kingdom,White Spot,51.2,-2.7,0,0,71.3137,0,0,0,2414.21,0,0,66,0,357.146
Dataset_3_147,BC 1488,S 039,Palearctic,Europe,United Kingdom,Canyon Cave,51.2,-2.7,0,0,71.3137,0,0,0,2414.21,0,0,66,0,357.146
Dataset_3_148,BC 1490,S 039,Palearctic,Europe,United Kingdom,Long Hole,51.2,-2.7,0,0,69.4142,0,0,0,2414.21,0,0,66,0,357.146
Dataset_3_149,BC 1503,S 042,Palearctic,Europe,Romania,Gura Ponicoavei,44.56667,22.23333,0,0,22.8995,0,-27,28,7828.43,0,0,49,0,3.98787
Dataset_3_150,BC 1504,S 042,Palearctic,Europe,Romania,Grota Haiducilor,44.86667,22.4,0,63064.5,22.8995,0,-15,15,2414.21,0,0,53,0,100.628
Dataset_3_151,BC 1509,S 043,Palearctic,Europe,Romania,Underground site 1,44,22,0,0,24.6569,0,0,0,1000,0,0,54,0,12.5133
