id,species,longitude,latitude,year,source,date_filter,precision_filter,precision_filter_date,neo_filter,spatial_filter,.val,.equ,.zer,.cap,.cen,.sea,.urb,.gbf,.inst,.dpl,.summary,lon,lat,bias_filter
56,Desmodus rotundus,-52.8597,-22.6564,2008,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-52.8597,-22.6564,TRUE
57,Desmodus rotundus,-50.4136,-24.5094,2009,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-50.4136,-24.5094,TRUE
58,Desmodus rotundus,-39.2844,-14.5931,NA,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-39.2844,-14.5931,TRUE
59,Desmodus rotundus,-52.0558,-25.5722,2009,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-52.0558,-25.5722,TRUE
60,Desmodus rotundus,-51.9906,-26.4842,2005,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-51.9906,-26.4842,TRUE
61,Desmodus rotundus,-42.8897018432617,-16.5594005584717,2004,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-42.8897018432617,-16.5594005584717,TRUE
62,Desmodus rotundus,-43.8897018432617,-19.6271991729736,NA,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-43.8897018432617,-19.6271991729736,TRUE
63,Desmodus rotundus,-43.1741981506348,-19.92919921875,2006,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-43.1741981506348,-19.92919921875,TRUE
64,Desmodus rotundus,-69.6833,-13.5056,1992,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-69.6833,-13.5056,TRUE
65,Desmodus rotundus,-79.63,-2.98,1974,specieslink,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-79.63,-2.98,TRUE
66,Desmodus rotundus,-52.37,-3.65,1986,specieslink,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-52.37,-3.65,TRUE
67,Desmodus rotundus,-59.506100000000004,3.3811,1993,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-59.506100000000004,3.3811,TRUE
68,Desmodus rotundus,-60.4958,7.3714,1999,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-60.4958,7.3714,TRUE
69,Desmodus rotundus,-66.9,9.86667,1984,specieslink,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-66.9,9.86667,TRUE
70,Desmodus rotundus rotundus,-69.07482,-2.5785,1983,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-69.07482,-2.5785,TRUE
71,Desmodus rotundus,-47.799999,-21.5833,1993,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-47.799999,-21.5833,TRUE
72,Desmodus rotundus,-41.735611,-20.49225,2019,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-41.735611,-20.49225,TRUE
73,Desmodus rotundus,-40.072222222,-19.430833333,2010,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-40.072222222,-19.430833333,TRUE
74,Desmodus rotundus,-40.7197222222222,-18.9797222222222,2006,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-40.7197222222222,-18.9797222222222,TRUE
75,Desmodus rotundus,-48.3653,-24.0992,1999,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-48.3653,-24.0992,TRUE
76,Desmodus rotundus,-49.6242,-25.4908,NA,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-49.6242,-25.4908,TRUE
77,Desmodus rotundus,-42.475,-14.0694,2009,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-42.475,-14.0694,TRUE
78,Desmodus rotundus,-54.6356,-16.4708,NA,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-54.6356,-16.4708,TRUE
79,Desmodus rotundus,-55.4508,-10.8178,NA,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-55.4508,-10.8178,TRUE
80,Desmodus rotundus,-44.603099822998,-21.9755992889404,2009,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-44.603099822998,-21.9755992889404,TRUE
81,Desmodus rotundus,-47.0905990600586,-16.0296993255615,NA,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-47.0905990600586,-16.0296993255615,TRUE
