id,species,longitude,latitude,year,source,date_filter,precision_filter,precision_filter_date,neo_filter,.val,.equ,.zer,.dpl,.summary,lon,lat,bias_filter,sptdist_filter
398,desmodus_rotundus,-48.622189,-26.280734,2022,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-48.622189,-26.280734,TRUE,TRUE
404,desmodus_rotundus,-36.26454,-5.51776,2022,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-36.26454,-5.51776,TRUE,TRUE
423,desmodus_rotundus,-73.228723,-1.69235,2022,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-73.228723,-1.69235,TRUE,TRUE
429,desmodus_rotundus,-49.386475,-28.149145999999998,2022,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-49.386475,-28.149145999999998,TRUE,TRUE
432,desmodus_rotundus,-45.708919,-17.953575,2022,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-45.708919,-17.953575,TRUE,TRUE
442,desmodus_rotundus,-59.147776,7.559117,2022,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-59.147776,7.559117,TRUE,TRUE
447,desmodus_rotundus,-73.8909,7.312807,2022,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-73.8909,7.312807,TRUE,TRUE
448,desmodus_rotundus,-76.282151,7.01022,2022,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-76.282151,7.01022,TRUE,TRUE
463,desmodus_rotundus,-71.103427,5.554845,2022,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-71.103427,5.554845,TRUE,TRUE
478,desmodus_rotundus,-45.970293,-22.220141,2022,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-45.970293,-22.220141,TRUE,TRUE
479,desmodus_rotundus,-58.168682,-28.038002,2022,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-58.168682,-28.038002,TRUE,TRUE
488,desmodus_rotundus,-55.989169,-31.361818,2022,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-55.989169,-31.361818,TRUE,TRUE
493,desmodus_rotundus,-78.457085,-7.126265,2022,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-78.457085,-7.126265,TRUE,TRUE
511,desmodus_rotundus,-93.570086,17.794493,2022,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-93.570086,17.794493,TRUE,TRUE
514,desmodus_rotundus,-83.5344,10.58354,2022,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-83.5344,10.58354,TRUE,TRUE
516,desmodus_rotundus,-73.439732,9.692856,2022,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-73.439732,9.692856,TRUE,TRUE
518,desmodus_rotundus,-85.061892,9.864083,2022,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-85.061892,9.864083,TRUE,TRUE
523,desmodus_rotundus,-43.897785,-17.387269,2021,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-43.897785,-17.387269,TRUE,TRUE
537,desmodus_rotundus,-79.518024,-6.405035,2021,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-79.518024,-6.405035,TRUE,TRUE
551,desmodus_rotundus,-70.015222,6.773773,2021,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-70.015222,6.773773,TRUE,TRUE
555,desmodus_rotundus,-46.958157,-23.842187,2021,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-46.958157,-23.842187,TRUE,TRUE
558,desmodus_rotundus,-87.455155,15.728632,2021,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-87.455155,15.728632,TRUE,TRUE
562,desmodus_rotundus,-60.433875,-23.440127,2021,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-60.433875,-23.440127,TRUE,TRUE
588,desmodus_rotundus,-85.915121,12.929006,2021,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-85.915121,12.929006,TRUE,TRUE
591,desmodus_rotundus,-71.4329,3.8136,2021,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-71.4329,3.8136,TRUE,TRUE
594,desmodus_rotundus,-72.290668,3.912551,2021,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-72.290668,3.912551,TRUE,TRUE
597,desmodus_rotundus,-73.311067,11.244401,2021,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-73.311067,11.244401,TRUE,TRUE
598,desmodus_rotundus,-97.680236,17.267563,2021,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-97.680236,17.267563,TRUE,TRUE
599,desmodus_rotundus,-76.389617,0.496069,2021,gbif,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-76.389617,0.496069,TRUE,TRUE
